0 | 0 | AR1420 | SBZK Running | 30
30 | 30 | AR1420 | SBZK Waiting | 30
50 | 50 | AR2420 | SBZK Running | 50
60 | 80 | AR1420 | SBZK Running | 30
80 | 110 | AR2420 | SBZK Running | 20
110 | 110 | AR1420 | QBT Running | 30
130 | 130 | AR2420 | SBZK Waiting | 50
140 | 140 | AR1420 | QBT Waiting | 30
170 | 170 | AR1420 | QBT Running | 30
180 | 180 | AR2420 | SBZK Running | 50
200 | 200 | AR1420 | QBT Waiting | 30
210 | 210 | AR2420 | SBZK Running | 20
230 | 230 | AR1420 | QBT Running | 30
230 | 260 | AR2420 | QBT Running | 50
260 | 260 | AR1420 | QBT Waiting | 30
290 | 310 | AR1420 | QBT Running | 30
310 | 310 | AR2420 | QBT Waiting | 50
340 | 340 | AR1420 | SBZK Running | 30
360 | 360 | AR2420 | QBT Running | 50
370 | 370 | AR1420 | SBZK Waiting | 30
400 | 400 | AR1420 | SBZK Running | 30
410 | 410 | AR2420 | QBT Waiting | 50
430 | 430 | AR1420 | WUO Running | 30
460 | 460 | AR1420 | WUO Waiting | 30
460 | 460 | AR2420 | QBT Running | 50
490 | 490 | AR1420 | WUO Running | 30
510 | 510 | AR2420 | QBT Waiting | 50
520 | 520 | AR1420 | WUO Waiting | 30
550 | 550 | AR1420 | WUO Running | 30
560 | 560 | AR2420 | QBT Running | 50
580 | 580 | AR1420 | WUO Waiting | 30
610 | 610 | AR1420 | WUO Running | 30
610 | 610 | AR2420 | SBZK Running | 50
640 | 640 | AR1420 | SBZK Running | 30
640 | 670 | AR2420 | SBZK Running | 20
670 | 670 | AR1420 | Finished | 0
690 | 690 | AR2420 | SBZK Waiting | 50
740 | 740 | AR2420 | SBZK Running | 50
770 | 770 | AR2420 | SBZK Running | 20
790 | 790 | AR2420 | WUO Running | 50
840 | 840 | AR2420 | WUO Waiting | 50
890 | 890 | AR2420 | WUO Running | 50
940 | 940 | AR2420 | WUO Waiting | 50
990 | 990 | AR2420 | WUO Running | 50
1040 | 1040 | AR2420 | WUO Waiting | 50
1090 | 1090 | AR2420 | WUO Running | 50
1140 | 1140 | AR2420 | SBZK Running | 50
1170 | 1170 | AR2420 | SBZK Running | 20
1190 | 1190 | AR2420 | Finished | 0
